141  (180,77)    (742,942)  
142  (180,69)    (1484,1884)  
143  (180,61)    (337,437)  
144  (180,53)    (674,874)  
145  (172,53)    (337,437)  
146  (172,61)    (885,985)  
147  (172,69)    (1770,1970)  
148  (172,77)    (3540,3940)  
149  (164,81)    (1770,1970)  
150  (148,85)    (204,304)  
151  (124,85)    (408,608)  
152  (124,93)    (816,1216)  
153  (124,109)    (408,608)  
154  (124,125)    (594,694)  
155  (124,117)    (1188,1388)  
156  (124,101)    (2376,2776)  
157  (104,89)    (1188,1388)  
158  (104,81)    (226,326)  
159  (104,73)    (452,652)  
160  (104,65)    (904,1304)  
161  (104,49)    (226,326)  
162  (104,41)    (452,652)  
163  (104,33)    (921,1021)  
164  (104,25)    (537,637)  
165  (104,17)    (1074,1274)  
166  (92,9)    (2148,2548)  
167  (80,9)    (112,212)  
168  (72,9)    (112,212)  
169  (64,21)    (959,1059)  
170  (72,25)    (1918,2118)  
171  (80,25)    (2877,3177)  
172  (80,25)    (392,492)  
173  (80,41)    (392,492)  
174  (88,49)    (709,809)  
175  (104,57)    (1418,1618)  
176  (124,69)    (2836,3236)  
177  (124,77)    (940,1040)  
178  (132,81)    (1880,2080)  
179  (140,65)    (943,1043)  
180  (132,61)    (1886,2086)  
181  (124,61)    (3772,4172)  
182  (124,53)    (79,179)  
183  (124,45)    (79,179)  
184  (124,37)    (922,1022)  
185  (124,29)    (1844,2044)  
186  (132,21)    (1844,2044)  
187  (124,21)    (361,461)  
188  (120,9)    (947,1047)  
189  (128,9)    (1894,2094)  
190  (136,9)    (947,1047)  
191  (148,9)    (861,961)  
192  (162,9)    (1722,1922)  
193  (156,25)    (3444,3844)  
194  (172,21)    (2583,2883)  
195  (180,21)    (937,1037)  
196  (180,29)    (1874,2074)  
197  (172,29)    (3748,4148)  
198  (172,37)    (2811,3111)  
199  (172,45)    (754,854)  
200  (180,45)    (1508,1708)  
201  (180,37)    (2262,2562)  
202  (188,41)    (872,972)  
203  (196,49)    (636,736)  
204  (204,57)    (636,736)  
205  (212,65)    (459,559)  
206  (220,73)    (918,1118)  
207  (228,69)    (1836,2236)  
208  (228,77)    (1377,1677)  
209  (236,77)    (390,490)  
210  (236,69)    (390,490)  
211  (236,61)    (141,241)  
212  (228,61)    (282,482)  
213  (228,53)    (423,723)  
214  (236,53)    (111,211)  
215  (236,45)    (222,422)  
216  (228,45)    (444,844)  
217  (228,37)    (333,633)  
218  (236,37)    (588,688)  
219  (236,29)    (1176,1376)  
220  (228,29)    (588,688)  
221  (228,21)    (6,106)  
222  (236,21)    (6,106)  
223  (252,21)    (155,255)  
224  (260,29)    (310,510)  
225  (260,37)    (620,1020)  
226  (260,45)    (465,765)  
227  (260,53)    (723,823)  
228  (260,61)    (1446,1646)  
229  (260,69)    (2892,3292)  
230  (260,77)    (1446,1646)  
231  (276,77)    (723,823)  
232  (276,69)    (1446,1646)  
233  (276,61)    (2892,3292)  
234  (276,53)    (2169,2469)  
235  (284,53)    (667,767)  
236  (284,61)    (1334,1534)  
237  (284,69)    (1334,1534)  
238  (284,77)    (829,929)  
239  (284,85)    (1658,1858)  
240  (284,93)    (3316,3716)  
241  (284,101)    (829,929)  
242  (288,109)    (487,587)  
243  (280,109)    (974,1174)  
244  (276,101)    (974,1174)  
245  (276,93)    (590,690)  
246  (276,85)    (1180,1380)  
247  (268,97)    (2360,2760)  
248  (260,109)    (1180,1380)  
249  (252,101)    (370,470)  
250  (260,93)    (740,940)  
251  (260,85)    (1480,1880)  
252  (236,85)    (823,923)  
253  (228,85)    (1646,1846)  
254  (228,93)    (3292,3692)  
255  (236,93)    (823,923)  
256  (236,101)    (173,273)  
257  (228,101)    (346,546)  
258  (228,109)    (56,156)  
259  (228,117)    (977,1077)  
260  (228,125)    (1954,2154)  
261  (220,125)    (2931,3231)  
262  (212,117)    (681,781)  
263  (204,109)    (1362,1562)  
264  (196,101)    (2043,2343)  
265  (188,93)    (689,789)  
266  (180,93)    (1378,1578)  
267  (180,101)    (2756,3156)  
268  (180,109)    (689,789)  
269  (180,117)    (933,1033)  
270  (180,125)    (1866,2066)  
271  (196,145)    (2799,3099)  
272  (204,145)    (809,909)  
273  (212,145)    (1618,1818)  
274  (220,145)    (587,687)  
275  (228,145)    (1174,1374)  
276  (236,145)    (686,786)  
277  (246,141)    (1372,1572)  
278  (252,125)    (686,786)  
279  (260,129)    (466,566)  
280  (280,133)    (356,456)  
#EOF
